"Code ROME";"libellé métier onisep";"lien site onisep.fr";"Lib_ROME_FT";"lien site FT";"transitionEcologique";"transitionEcologiqueDetaillee";"transitionNumerique";"transitionDemographique"
"B1301";"étalagiste";"https://www.onisep.fr/http/redirection/metier/slug/MET.308";"Étalagiste";"https://candidat.francetravail.fr/metierscope/fiche-metier/B1301";"Non";"";"Non";"Non"
"B1302";"restaurateur / restauratrice d'oeuvres d'art";"https://www.onisep.fr/http/redirection/metier/slug/MET.52";"Décorateur / Décoratrice d'objets d'art";"https://candidat.francetravail.fr/metierscope/fiche-metier/B1302";"Non";"";"Non";"Non"
"B1302";"décorateur / décoratrice sur verre";"https://www.onisep.fr/http/redirection/metier/slug/MET.7937";"Décorateur / Décoratrice d'objets d'art";"https://candidat.francetravail.fr/metierscope/fiche-metier/B1302";"Non";"";"Non";"Non"
"B1303";"graveur / graveuse sur métal";"https://www.onisep.fr/http/redirection/metier/slug/MET.533";"Graveur / Graveuse d'art";"https://candidat.francetravail.fr/metierscope/fiche-metier/B1303";"Non";"";"Non";"Non"
"B1401";"vannier / vannière";"https://www.onisep.fr/http/redirection/metier/slug/MET.7942";"Vannier / Vannière";"https://candidat.francetravail.fr/metierscope/fiche-metier/B1401";"Non";"";"Non";"Non"
"B1402";"relieur-doreur / relieuse-doreuse";"https://www.onisep.fr/http/redirection/metier/slug/MET.581";"Relieur / Relieuse";"https://candidat.francetravail.fr/metierscope/fiche-metier/B1402";"Non";"";"Non";"Non"
"B1501";"facteur / factrice d'instruments";"https://www.onisep.fr/http/redirection/metier/slug/MET.859";"Facteur / Factrice d'instruments de musique";"https://candidat.francetravail.fr/metierscope/fiche-metier/B1501";"Non";"";"Non";"Non"
"B1501";"luthier / luthière";"https://www.onisep.fr/http/redirection/metier/slug/MET.966";"Facteur / Factrice d'instruments de musique";"https://candidat.francetravail.fr/metierscope/fiche-metier/B1501";"Non";"";"Non";"Non"
"B1501";"archetier / archetière";"https://www.onisep.fr/http/redirection/metier/slug/MET.7941";"Facteur / Factrice d'instruments de musique";"https://candidat.francetravail.fr/metierscope/fiche-metier/B1501";"Non";"";"Non";"Non"
"B1501";"accordeur de piano / accordeuse de piano";"https://www.onisep.fr/http/redirection/metier/slug/MET.7935";"Facteur / Factrice d'instruments de musique";"https://candidat.francetravail.fr/metierscope/fiche-metier/B1501";"Non";"";"Non";"Non"
"B1601";"fondeur / fondeuse de cloches";"https://www.onisep.fr/http/redirection/metier/slug/MET.7944";"Métallier / Métallière d'art";"https://candidat.francetravail.fr/metierscope/fiche-metier/B1601";"Non";"";"Non";"Non"
"B1601";"bronzier / bronzière";"https://www.onisep.fr/http/redirection/metier/slug/MET.62";"Métallier / Métallière d'art";"https://candidat.francetravail.fr/metierscope/fiche-metier/B1601";"Non";"";"Non";"Non"
